OpCode	ImagePtPair	FilenameLeft	FrameLeft	FilenameRight	FrameRight	Time	Period	PeriodTime	X	Y	Z	sX	sY	sZ	RMS	Range	Direction	Family	Genus	Species	Code	Number	Stage	Activity	Comment	Attribute9	Attribute10
isrnort131021A	2	lGP024900.MP4	16742	rGP028401.MP4	15855	22.40627	Time seabed	13.53074	-479.14521	-355.98390	-4835.45466	2.57087	2.07107	21.81337	3.77337	4872.15829	7.28514	Sparidae	Argyrops	megalommatus	61176	2	AD	Passing			
isrnort131021A	7	lGP034900.MP4	21615	rGP038401.MP4	20728	32.63677	Time seabed	23.76124	215.36313	-478.77685	-3355.38550	1.21951	1.75057	10.54143	1.23779	3396.20677	9.26196	Muraenidae	Gymnothorax	johnsoni	7882	1	AD	Passing			
isrnort131021B	1	lGP023292.MP4	16535	rGP023648.MP4	15901	22.34872	Time seabed	13.47318	27.07371	-167.12933	-1226.29227	0.39808	0.42868	1.48010	0.13431	1237.92485	8.09933	Blenniidae				1	AD	Passing			
isrnort131021B	2	lGP033292.MP4	5390	rGP033648.MP4	4756	28.12532	Time seabed	19.24979	-1069.89241	-125.00379	-1806.08248	1.85408	0.60386	3.29979	3.04136	2102.90981	30.84125	Pinguipedidae	Parapercis	somaliensis	10297	1	AD	Passing			
isrnort131021B	5	lGP063292.MP4	22179	rGP063648.MP4	21545	59.42019	Time seabed	50.54466	174.84058	-124.32427	-1161.03270	0.41160	0.38953	1.34485	0.19985	1180.68738	10.61081	Muraenidae	Gymnothorax	elegans	23130	1	AD	Passing			
isrnort131021B	7	lGP083292.MP4	8835	rGP083648.MP4	8201	73.46089	Time extra	4.28928	-439.58823	13.83291	-988.21698	0.49099	0.31553	1.01408	1.10747	1081.66629	23.98500	Serranidae	Epinephelus	fasciatus	5348	1	AD	Passing			
isrnort131021B	9	lGP093292.MP4	5627	rGP093648.MP4	4993	81.44442	Time extra	12.27282	38.24253	-115.48389	-878.77395	0.29730	0.29672	0.79183	0.19415	887.15426	8.11114	Muraenidae	Gymnothorax	johnsoni	7882	1	AD	Passing			
isrnort131021C	0	lGP014901.MP4	3822	rGP018402.MP4	4740	9.93826	Time seabed	2.51501	133.75638	-274.17918	-811.03479	0.28623	0.33615	0.66513	0.20928	866.51164	20.97692	Gobiidae				1	AD	Passing			
isrnort131021C	3	lGP014901.MP4	18216	rGP018402.MP4	19134	13.94059	Time seabed	6.51734	-1280.87060	-382.22356	-2484.77753	2.94097	1.15439	6.03237	0.08289	2821.49671	28.39582	Ostraciidae	Tetrosomus	gibbosus	8129	1	AD	Passing			
isrnort131021C	7	lGP024901.MP4	16525	rGP028402.MP4	17443	22.34593	Time seabed	14.92269	-487.38897	-207.84794	-7342.43790	3.95078	2.49813	49.87934	0.52865	7361.53130	4.30186	Labridae	Choerodon	robustus	6926	1	AD	Passing			
isrnort131021C	11	lGP074901.MP4	1826	rGP078402.MP4	2744	62.63646	Time seabed	55.21321	2147.83177	253.18278	-6894.40351	13.80307	2.89419	44.78017	21.00298	7225.65448	17.37333	Serranidae	Variola	louti	5354	1	AD	Passing			
isrnort131021E	17	lGP054902.MP4	29034	rGP058403.MP4	30130	52.45073	Time seabed	47.82166	1131.96674	-211.26064	-2064.98121	2.13119	0.74142	3.99320	1.14553	2364.34498	29.22220	Tetraodontidae	Arothron	hispidus	5425	1	AD	Passing			
isrnort131021E	21	lGP074902.MP4	14906	rGP078403.MP4	16002	66.27343	Time seabed	61.64436	-759.18981	-431.70176	-2271.68616	1.72167	1.15450	5.08006	2.49473	2433.78174	21.23147	Fistulariidae	Fistularia	commersonii	5444	1	AD	Passing			
isrnort131021F	2	lGP033294.MP4	10855	rGP033650.MP4	11840	29.64489	Time seabed	24.89960	17.43107	-201.61154	-1142.36112	0.37334	0.41911	1.29522	2.30978	1160.14653	10.28608	Muraenidae	Gymnothorax	griseus	8058	1	AD	Passing			
isrnort131021F	13	lGP053294.MP4	14158	rGP053650.MP4	15143	48.31438	Time seabed	43.56908	-1917.89208	-413.40998	-4056.34264	7.38137	1.99369	16.09651	1.87032	4505.89985	25.86368	Scorpaenidae	Pterois	miles	7797	1	AD	Passing			
isrnort131021F	29	lGP063294.MP4	8419	rGP063650.MP4	9404	55.59415	Time seabed	50.84885	-24.39773	-132.39795	-1925.18316	0.60461	0.63518	3.52556	3.35229	1929.88463	4.23788	Mullidae	Parupeneus	forsskali	10994	1	AD	Passing			
isrnort131021F	44	lGP073294.MP4	5703	rGP073650.MP4	6688	63.71448	Time seabed	58.96919	-113.97457	-286.84371	-994.57592	0.34265	0.41797	1.00442	0.45478	1041.36967	17.46591	Pomacentridae	Dascyllus	trimaculatus	5112	5	AD	Passing			
isrnort131021G	3	lGP014903.MP4	16011	rGP018404.MP4	16843	13.32748	Time seabed	5.80080	394.52336	-424.74648	-1675.66148	0.78633	0.84211	2.73400	1.37360	1773.10453	19.38096	Gobiidae				1	AD	Passing			
isrnort131021G	13	lGP064903.MP4	15597	rGP068404.MP4	16429	57.59003	Time seabed	50.06335	-724.56290	-485.07401	-2879.49274	2.09986	1.55500	7.99921	3.91547	3008.61540	17.07467	Pinguipedidae	Parapercis	somaliensis	10297	1	AD	Passing			
isrnort131021H	19	lGP023295.MP4	2074	rGP023651.MP4	3026	18.32775	Time seabed	13.78321	212.52890	-28.78315	-1658.67711	0.60418	0.51675	2.65788	0.20793	1672.48520	7.40380	Pomacentridae	Dascyllus	trimaculatus	5112	20	AD	Passing			
isrnort170321A	3	lGP073265.MP4	7182	rGP073622.MP4	8036	64.12573	Time seabed	55.98343	36.54644	-202.31326	-776.46626	0.26809	0.29358	0.63247	0.31751	803.22235	15.06781	Muraenidae	Gymnothorax	elegans	23130	1	AD	Passing			
isrnort170321B	14	lGP054877.MP4	18861	rGP058379.MP4	19932	49.62207	Time seabed	41.91632	-816.80840	-517.68690	-2050.99914	1.64164	1.18482	4.17072	0.51474	2267.54784	25.46204	Muraenidae	Gymnothorax	johnsoni	7882	1	AD	Passing			
isrnort170321B	15	lGP054877.MP4	18861	rGP058379.MP4	19932	49.62207	Time seabed	41.91632	-177.37975	-548.86269	-2067.73233	0.72661	1.22342	4.10701	0.22568	2146.67902	15.97146	Muraenidae	Gymnothorax	johnsoni	7882	1	AD	Passing			
isrnort170321B	17	lGP094877.MP4	336	rGP098379.MP4	1407	79.97323	Time extra	12.00839	760.76786	-429.49363	-1491.53032	1.07929	0.74164	2.06660	2.18973	1728.55292	30.55897	Pseudochromidae	Pectinochromis	lubbocki	12742	1	AD	Passing	2		
isrnort170321C	2	lGP023266.MP4	17250	rGP023623.MP4	17977	22.54753	Time seabed	13.67199	-340.86524	-548.18968	-4586.85704	1.98777	2.64053	19.56015	4.31596	4632.05770	8.21689	Mullidae	Parupeneus	heptacanthus	5991	2	AD	Passing			
