OpCode	ImagePtPair	Index	Lx	Ly	Rx	Ry
israchz091121C	5	1	603.41763	745.60187	722.89192	737.63364
israchz091121C	6	0	824.02518	727.34953	854.24974	718.71215
israchz091121C	6	1	1138.03358	690.31776	1137.56558	688.32710
israchz091121C	7	0	1261.02204	804.71215	1271.21826	810.98505
israchz091121C	7	1	1581.16894	823.22804	1595.14271	842.79439
israchz091121D	0	0	831.21196	1377.21682	662.32424	1290.42991
israchz091121D	0	1	938.39979	1369.62056	765.73452	1297.07664
israchz091121D	1	0	1247.60021	1394.18692	847.93494	1347.58131
israchz091121D	1	1	1332.12277	1370.44860	931.51312	1339.98505
israchz091121D	2	0	1285.37671	1122.97570	1389.59601	1119.38879
israchz091121D	3	0	1075.84890	1136.38879	1174.54145	1111.19813
israchz091121D	4	0	2366.35467	1258.61682	2264.20986	1372.26168
israchz091121D	5	0	1995.34942	1446.41121	1463.90661	1504.33271
israchz091121D	5	1	2104.89822	1427.42056	1589.50997	1501.48411
israchz091121D	6	0	2116.88143	1326.92336	1846.90556	1415.55140
israchz091121D	6	1	2276.48269	1324.54953	2005.09024	1433.11776
israchz091121D	7	0	2234.96222	1024.59065	2389.05352	1116.56075
israchz091121D	8	0	1105.89927	1226.55140	795.03987	1179.16636
israchz091121D	8	1	906.63379	1232.24860	657.15950	1164.92336
israchz091121E	0	0	297.92235	1375.10280	113.49423	1289.86916
israchz091121E	1	0	1922.92760	1412.22804	1633.42707	1471.09907
israchz091121E	1	1	1800.15740	1420.77383	1502.62959	1471.09907
israchz091121E	2	0	815.65477	615.13645	401.79433	630.08598
israchz091121E	2	1	1668.87408	947.11589	1270.89927	975.75327
israchz091121F	0	0	1003.76705	1424.57196	758.52046	1356.47103
israchz091121F	0	1	1131.25918	1397.51028	902.53935	1351.24860
israchz091121F	1	0	316.12382	1459.22991	266.73452	1305.00374
israchz091121F	1	1	245.76705	1473.47290	199.21091	1315.92336
israchz091121F	2	0	234.20776	1151.72150	131.74187	1030.85421
israchz091121F	2	1	72.71773	1168.81308	5.66632	1038.45047
israchz091121G	0	0	2635.90346	1298.39252	2491.19832	1440.44860
israchz091121G	1	0	1772.45750	1310.02617	1588.56348	1345.37944
israchz091121G	1	1	1577.44176	1325.69346	1384.57608	1352.50093
israchz091121G	2	0	2500.01259	1357.99439	2278.54250	1489.61495
israchz091121G	3	0	2355.07555	1248.18692	2262.52361	1354.30654
israchz091121G	3	1	2539.23085	1263.85421	2458.95593	1394.18692
israchz091121G	4	0	2551.00944	1293.60187	2506.62329	1422.67290
israchz091121G	4	1	2694.08395	1265.59065	2683.22350	1406.53084
israchz091121H	0	0	1733.47534	561.85047	1881.99790	587.92523
israchz091121H	0	1	1471.72928	561.85047	1608.90241	570.16822
israchz091121H	1	0	1439.40609	668.52336	1615.34732	679.38318
israchz091121H	1	1	1224.47639	669.23364	1403.25498	669.43925
israchz091121H	2	0	1296.31270	852.03738	1360.77964	850.11215
israchz091121H	2	1	1016.83316	863.40187	1106.83631	839.45794
israchz091121H	3	0	755.31060	623.82243	604.66737	598.96262
israchz091121H	3	1	1144.02833	652.94393	1025.30535	645.13084
israchz091121H	4	0	2035.64638	392.03738	1990.48374	411.32710
israchz091121H	4	1	2487.49528	369.30841	2465.03148	396.41121
israchz091121H	5	0	2072.95383	634.98131	2376.28541	691.96262
israchz091121H	5	1	2268.02204	640.66355	2601.14586	706.87850
israchz091121H	6	0	2040.05876	639.25234	2329.46905	681.86916
israchz091121H	7	0	1981.44176	240.73832	2195.75341	254.18692
israchz091121H	7	1	2245.31584	227.24299	2468.13956	238.56075
israchz091121H	8	0	2156.39035	411.96262	2675.62644	437.53271
israchz091121H	9	0	2067.87408	273.03738	2453.60336	293.22430
israchz091121H	9	1	2267.19832	270.19626	2676.33578	294.64486
israchz091121H	10	0	307.22036	693.28972	515.96432	642.27103
israchz091121H	10	1	534.91815	694.00000	742.24344	653.63551
israchz091121H	11	0	1390.13116	953.48598	729.20042	931.88785
israchz091121H	11	1	1946.25289	914.42056	1427.18993	946.09346
israchz091121H	12	0	1445.11857	699.98131	1500.37461	708.86916
israchz091121H	12	1	1097.54250	686.48598	1225.86044	674.06542
israchz091121H	13	0	122.71563	970.67290	119.87828	870.94393
israchz091121H	13	1	369.56558	849.21495	453.26758	775.05607
israchz091121H	14	0	1455.87303	906.08411	1297.77964	908.21495
israchz091121H	14	1	1030.97901	933.07477	879.97901	913.18692
israchz091121H	15	0	738.65477	790.93458	709.40923	747.03738
israchz091121H	15	1	332.20357	790.93458	351.90241	729.99065
israchz091121H	16	0	2325.82057	776.66355	1924.83421	834.83178
israchz091121H	16	1	1785.30430	747.54206	1380.06191	759.54206
israchz091121H	17	0	2216.68416	606.93458	2244.34837	655.43925
israchz091121H	17	1	2603.98321	629.66355	2642.28751	703.02804
israchz091121H	18	0	1350.91396	841.22430	1099.31584	840.57944
israchz091121H	18	1	901.19307	768.06542	736.84365	739.00935
israchz091121I	0	0	1876.49003	991.56075	1213.03673	1012.66355
israchz091121I	0	1	1997.07765	941.13084	1330.78699	970.04673
israchz091121I	1	0	2189.45855	916.69159	1894.52466	955.77570
israchz091121I	1	1	2272.45121	906.74766	1999.50682	953.64486
israchz091121I	2	0	2280.71144	1063.27103	1608.14376	1113.16822
israchz091121I	3	0	1385.88143	1053.81308	1372.63903	1062.72897
israchz091121I	3	1	1661.81427	971.42056	1680.49213	993.83178
israchz091121I	4	0	1897.06086	754.64486	1580.62539	773.47664
israchz091121I	4	1	2132.56139	735.46729	1813.28856	756.42991
israchz091121I	5	0	1896.35152	834.19626	1711.14376	865.81308
israchz091121I	5	1	2056.66212	829.93458	1832.44071	858.00000
israchz091121I	6	0	1477.45855	772.83178	1013.11228	774.18692
israchz091121I	6	1	1286.64638	759.33645	862.73242	756.42991
israchz091121I	7	0	1459.72508	776.38318	1118.80378	784.84112
israchz091121I	7	1	1621.45435	752.94393	1286.91710	761.40187
israchz091121I	8	0	1410.07135	861.61682	1074.11542	866.52336
israchz091121I	8	1	1263.23820	823.97196	984.73872	820.35514
israchz091121I	9	0	1344.77650	1009.98131	777.66212	993.83178
israchz091121I	9	1	1149.70829	992.22430	617.35152	962.57944
israchz091121I	10	0	524.46275	942.71963	367.41133	904.96262
israchz091121I	10	1	659.94648	943.42991	509.27912	906.38318
israchz091121I	11	0	1104.64113	823.49533	703.63799	817.59813
israchz091121I	12	0	2423.81112	843.56075	2123.12382	887.01869
israchz091121I	12	1	2591.92445	862.73832	2296.91186	905.48598
israchz091121J	0	0	670.81742	1207.56075	515.77020	1121.76262
israchz091121J	0	1	633.98636	1226.07664	472.32844	1132.20748
israchz091121J	1	0	730.78594	1182.87290	592.26548	1105.62056
israchz091121J	2	0	1308.70934	818.71215	1589.18258	825.51028
israchz091121J	2	1	1370.56663	814.91402	1651.98426	824.56075
israchz091121J	3	0	48.16369	875.23738	445.23715	793.25794
israchz091121J	4	0	681.00630	826.23738	934.17524	786.00561
israchz091121J	4	1	628.59286	818.64112	892.15005	776.03551
israchz091121J	5	0	570.98531	833.83364	833.12592	786.00561
israchz091121J	5	1	514.32214	828.13645	782.60126	777.93458
israchz091121J	6	0	1150.95698	721.23738	1409.45855	714.74206
israchz091121J	6	1	1114.12592	735.95514	1374.51626	728.98505
israchz091121J	7	0	409.02308	814.36822	734.90976	761.79252
israchz091121J	8	0	130.32529	879.83364	375.95698	795.56075
israchz091121J	8	1	47.69150	894.55140	309.84995	806.00561
israchz091121J	9	0	1652.48164	779.67290	1823.45226	803.96636
israchz091121J	9	1	1613.76180	786.31963	1777.64953	807.28972
israchz091121J	10	0	1441.41133	794.39065	1611.43757	804.91589
israchz091121J	10	1	1393.71983	793.44112	1566.10703	801.11776
israchz091121J	11	0	1581.65268	757.83364	1749.79014	777.37944
israchz091121J	12	0	1418.90241	794.45981	1587.76180	803.63178
israchz091121J	13	0	1610.76495	1482.49346	1313.73767	1494.83738
israchz091121J	13	1	1653.26233	1453.53271	1362.84575	1472.99813
israchz091121J	14	0	1398.60126	1371.06542	1157.71144	1356.43925
israchz091121J	14	1	1467.06925	1369.16636	1238.45645	1366.40935
israchz091121J	15	0	2251.78594	403.44860	2132.93494	426.08411
israchz091121J	15	1	1713.39769	373.61682	1700.23820	384.88785
israchz091121J	16	0	387.42497	472.92523	892.92445	443.95514
israchz091121J	16	1	79.08290	490.96636	579.38825	455.82430
israchz091121J	17	0	1320.17733	1187.69159	1081.06506	1177.71402
israchz091121J	17	1	1129.88353	1183.41869	920.04722	1144.00561
